Pop_Code,Region,Collection_Date,Latitude,Longitude,Altitude,Pop_Size,Pct_Canopy_Cover,RosCount,AdultCount,RosDens,AdultDens,TotalDens,AvgRosWidth,AvgAdultHeight,AvgNLeaves,AvgNFruits,Herb,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19
ABDAV1,NorthAm,10/1/10,41.553325,-90.58442222,191,2.00E+05,50,788,0,157.6,0,157.6,13.14583333, , , , ,9.934475899,10.44129562,0.262961864,0.036293045,29.15810013,-10.54839993,39.70650101,22.02653503,-3.896769762,22.40816879,-3.896769762,878.9998779,24.80050087,6.211619854,0.363692284,312.5534973,111.980278,310.4606934,111.980278
ABDAV2,NorthAm,10/1/10,41.55175556,-90.58705,193,2.00E+05,80,59,0,14.75,0,14.75,10.33333333, , , , ,9.934475899,10.44129562,0.262961864,0.036293045,29.15810013,-10.54839993,39.70650101,22.02653503,-3.896769762,22.40816879,-3.896769762,878.9998779,24.80050087,6.211619854,0.363692284,312.5534973,111.980278,310.4606934,111.980278
ABMRB1,Europe,5/23/10,46.589225,15.60066667,379,5,10,0,123,0,82,82, ,98.4,11.6,24.53333333,0.222655123,8.562811852,9.791023254,0.320102692,0.025416819,24.48390007,-6.10323,30.58712959,17.18421745,0.068176039,17.48148918,-0.792942703,1009.00061,27.9762001,10.8132,0.295638949,348.9721985,152.9651947,346.7235107,161.5686035
ABSLB1,NorthAm,7/8/09,44.83333333,-86.025,299,650,50,350,59,70,11.8,81.8,6.213043478,70.14482759,8.965517241,17.13793103,0.110527691,7.249962807,9.917992592,0.274491042,0.032404032,25.93230057,-10.19999981,36.13230133,14.72510147,-3.070180416,18.57426834,-4.72216177,847.0001221,23.65390015,9.902830124,0.194889426,263.4111938,159.8383331,241.9573059,166.7919312
ABSLB2,NorthAm,7/8/09,44.89638889,-86.03361111,223,1350,90,342,396,68.4,79.2,147.6,4.015217391,39.94,6.66,6.56,0.081777778,7.171334267,9.875905991,0.272474855,0.032504279,25.84519958,-10.39999962,36.24520111,14.73801136,-3.218640089,18.54206467,-4.838102818,833.9998779,23.20750046,9.672260284,0.195541784,259.4077148,157.0445557,238.6224976,162.4829559
ADBRE1,Europe,6/20/11,47.23897222,27.48869444,172,100,70,21,176,4.2,35.2,39.4,6.916666667,90.46511628,12.39534884,29.76744186,0.409533005,9.659187317,9.782757759,0.293890268,0.029665533,26.4612999,-6.825809956,33.28710938,19.23334694,-1.188088894,19.73620033,-1.584563494,555.000061,20.50460052,6.211480141,0.431930214,227.9815063,82.62310028,216.6493988,83.8232193
ADDUM1,Europe,6/22/11,47.403011,26.324303,362,200,40,14,112,2.8,22.4,25.2,7.125,75.25714286,11.54285714,27.37142857,0.437945269,7.934596062,9.669638634,0.300449729,0.028448557,23.9484005,-8.235480309,32.18387985,16.72900581,-2.372642517,17.58893394,-2.775270939,584.999939,22.14019966,5.518360138,0.51239562,258.1899109,73.78585815,243.2814026,74.15374756
ADMOT1,Europe,6/26/11,47.250295,26.62868,427,50,70,5,88,1,17.6,18.6,14.75,74.43902439,13.02439024,19.41463415,0.267941273,8.085459709,9.721138,0.299200863,0.02877433,24.43549919,-8.054840088,32.49034119,17.01733208,-2.328288078,17.8944149,-2.735211134,561.0003662,20.78140068,5.288060188,0.506783783,245.553894,70.21694946,232.179306,71.0714798
ADPLA1,Europe,6/24/11,47.23197222,26.49058333,309,100,70,0,142,0,28.4,28.4, ,86.875,20.925,40.35,0.619961606,8.01838398,9.77056694,0.301620662,0.028584713,24.24839973,-8.145159721,32.3935585,16.86836815,-2.329094172,17.75076485,-2.736530304,567,21.01140022,5.288090229,0.507821202,248.5059052,70.79218292,234.9915009,71.24434662
ADSL01,Europe,6/21/11,47.05347222,27.65902778,290,50,90,0,191,0,38.2,38.2, ,86.29545455,11.15909091,14.90909091,0.41577336,9.555137634,9.758178711,0.293123513,0.029661264,26.37420082,-6.916130066,33.29032898,19.11438751,-1.283498526,19.64031982,-1.661190867,569,20.95490074,6.368850231,0.413423777,230.0522003,89.74289703,218.4947052,90.08040619
AFNRA1,Europe,8/18/10,48.26102778,18.03302778,209,120,50,105,0,21,0,21,10.66666667, , , , ,9.806241989,9.882464409,0.319487214,0.026092166,26.03549957,-4.89677,30.93227005,18.58459091,1.641501188,18.83334923,-0.004391923,597.000061,16.7303009,7.363110065,0.255721509,202.5153046,105.1581192,199.219696,117.6502686
