GIFT_ID,PERIOD_START,PERIOD_END,GIFT,RECIPIENT_FIRST_NAME,RECIPIENT_LAST_NAME,RECIPIENT_TITLE,VALUE,DEPARTMENT,LOBBYIST_ID,LOBBYIST_FIRSTNAME,LOBBYIST_LASTNAME,CREATED_DATE
1101,2012-10-01T00:00:00,2012-12-31T00:00:00,candy,Carl,Erickson,Adm. Asst,12,CITY COUNCIL / ALDERMEN,6051,Constance,Zaio,2013-01-29T00:00:00
288,2012-01-01T00:00:00,2012-06-30T00:00:00,lunch,Elizabeth,Horton-Newkirk,employee,12,FIRE DEPARTMENT,6077,Amy,Garman,2012-09-11T00:00:00
88,2012-01-01T00:00:00,2012-06-30T00:00:00,Breakfast,Mary,O'Connor,Alderman,24,CITY COUNCIL / ALDERMEN,6082,Daniel,Lynch,2012-08-14T00:00:00
583,2012-07-01T00:00:00,2012-09-30T00:00:00,meal / snack,Deborah,Graham,alderman,13,CITY COUNCIL / ALDERMEN,6123,Amy,Brennan,2012-10-30T00:00:00
601,2012-07-01T00:00:00,2012-09-30T00:00:00,None,None,None,None,0,WORLD BUSINESS CHICAGO,5703,Michael,Laube,2012-10-31T00:00:00
933,2012-10-01T00:00:00,2012-12-31T00:00:00,Gift Basket,Tamra,Collins,Ms.,46.45,HOUSING AND ECONOMIC DEVELOPMENT,6982,Virginia,Pace,2013-01-14T00:00:00
1047,2012-10-01T00:00:00,2012-12-31T00:00:00,Lunch,Michael,Zalewski,Alderman,17.79,CITY COUNCIL / ALDERMEN,5778,Margaret,Houlihan,2013-01-17T00:00:00
1044,2012-10-01T00:00:00,2012-12-31T00:00:00,Lunch,Timothy,Cullerton,Alderman,17.79,CITY COUNCIL / ALDERMEN,5778,Margaret,Houlihan,2013-01-17T00:00:00
939,2012-10-01T00:00:00,2012-12-31T00:00:00,Gift Basket,Lawrence,Grisham,Mr,46.45,HOUSING AND ECONOMIC DEVELOPMENT,5872,Lawrence,Pusateri,2013-01-14T00:00:00
255,2012-01-01T00:00:00,2012-06-30T00:00:00,Invitation for breakfast at Chamber Annual Meeting,Gabe,Klein,commissioner,35,TRANSPORTATION,5980,Michael,Mini,2012-08-29T00:00:00
251,2012-01-01T00:00:00,2012-06-30T00:00:00,Invitation for breakfast at Chamber Annual Meeting,Rosemarie,Adnolino,commissioner,35,AVIATION,5980,Michael,Mini,2012-08-29T00:00:00
226,2012-01-01T00:00:00,2012-06-30T00:00:00,Invitation for breakfast at Chamber Annual Meeting,Walter,"Burnett, Jr",alderman,35,CITY COUNCIL / ALDERMEN,5980,Michael,Mini,2012-08-29T00:00:00
216,2012-01-01T00:00:00,2012-06-30T00:00:00,Invitation for breakfast at Chamber Annual Meeting,JoAnn,Thompson,alderman,35,CITY COUNCIL / ALDERMEN,5980,Michael,Mini,2012-08-29T00:00:00
259,2012-01-01T00:00:00,2012-06-30T00:00:00,Invitation for breakfast at Chamber Annual Meeting,Maria,Guerra,staff,35,MAYORS OFFICE,5980,Michael,Mini,2012-08-29T00:00:00
209,2012-01-01T00:00:00,2012-06-30T00:00:00,Invitation for breakfast at Chamber Annual Meeting,Anthony,Beale,alderman,35,CITY COUNCIL / ALDERMEN,5980,Michael,Mini,2012-08-29T00:00:00
204,2012-01-01T00:00:00,2012-06-30T00:00:00,Invitation for breakfast at Chamber Annual Meeting,Will,Burns,alderman,35,CITY COUNCIL / ALDERMEN,5980,Michael,Mini,2012-08-29T00:00:00
241,2012-01-01T00:00:00,2012-06-30T00:00:00,Invitation for breakfast at Chamber Annual Meeting,Brendan,Reilly,alderman,35,CITY COUNCIL / ALDERMEN,5980,Michael,Mini,2012-08-29T00:00:00
237,2012-01-01T00:00:00,2012-06-30T00:00:00,Invitation for breakfast at Chamber Annual Meeting,Timothy,Cullerton,alderman,35,CITY COUNCIL / ALDERMEN,5980,Michael,Mini,2012-08-29T00:00:00
1123,2012-10-01T00:00:00,2012-12-31T00:00:00,cookies,Andrew,Mooney,Commissioner,45,HOUSING AND ECONOMIC DEVELOPMENT,8124,Stephen,Friedman,2013-01-30T00:00:00
330,2012-01-01T00:00:00,2012-06-30T00:00:00,lunch,Elizabeth,Horton-Newkirk,employee,12,FIRE DEPARTMENT,9219,Amy,Garman,2012-09-27T00:00:00
328,2012-01-01T00:00:00,2012-06-30T00:00:00,lunch,Marie,Ewing,employee,12,POLICE DEPARTMENT,9219,Amy,Garman,2012-09-27T00:00:00
326,2012-01-01T00:00:00,2012-06-30T00:00:00,lunch,Rula,McCarthy,employee,12,FIRE DEPARTMENT,9219,Amy,Garman,2012-09-27T00:00:00
722,2012-01-01T00:00:00,2012-06-30T00:00:00,0,0,0,0,0,O'HARE MODERNIZATION PROJECT,9959,Helen,Shiller,2012-11-09T00:00:00
2183,2013-10-01T00:00:00,2013-12-31T00:00:00,0,no answer,No answer,no answer,0,311 CITY SERVICES,11086,Joseph,McDermott,2014-01-17T00:00:00
