SEX,HSGPA,YRSTUDY1,YRSTUDY2,YRSTUDY4,YRSTUDY5,YRSTUDY8,RATE01,RATE03,RATE07,RATE08,RATE10,RATE11,RATE13,RATE14,RATE15,RATE16,RATE20,HPW01,HPW02,HPW04,HPW06,HPW07,HPW08,HPW09,HPW11,HPW12,HPW13
male,7,6,6,6,4,6,4,3,4,5,3,4,5,4,4,3,4,7,6,6,3,4,5,2,2,2,3
female,8,6,6,3,5,6,5,4,3,3,5,3,2,2,4,3,3,5,5,6,3,2,4,1,3,1,5
female,8,6,6,4,4,6,4,4,4,4,3,5,3,3,3,3,4,8,4,6,1,1,3,2,1,1,4
male,7,6,7,4,4,6,4,5,4,4,4,4,4,4,4,3,3,2,5,4,2,1,3,5,2,1,3
female,6,6,6,6,3,1,4,3,4,4,2,4,2,1,4,2,4,7,8,8,1,4,1,5,4,1,7
female,5,6,6,4,3,4,3,5,5,2,3,4,4,5,3,5,3,3,7,2,7,3,3,6,2,1,7
female,5,6,6,4,6,4,4,4,5,2,3,1,3,2,2,2,2,3,8,2,1,1,1,4,1,5,4
male,7,6,6,3,3,6,5,2,3,2,5,2,3,3,3,3,2,2,4,2,1,1,1,1,1,4,4
female,8,6,6,5,4,6,5,5,5,3,5,5,1,3,5,2,4,5,4,8,5,1,1,1,4,1,6
female,8,6,6,5,6,6,4,4,4,4,3,4,3,2,3,3,4,5,5,5,1,2,1,4,3,1,4
female,7,6,7,3,3,3,4,4,5,3,3,3,4,3,2,4,3,4,5,6,5,5,5,4,3,1,4
female,6,6,6,4,3,6,3,4,5,3,3,3,4,2,3,3,4,4,2,4,2,1,2,2,3,1,2
female,8,6,6,1,6,3,4,3,4,5,4,3,4,3,3,3,2,8,3,2,1,1,1,3,2,1,3
male,7,6,7,4,4,1,5,5,5,5,4,5,4,4,4,4,4,5,6,8,1,5,3,6,3,1,4
male,8,6,6,4,4,1,5,4,4,5,3,4,4,3,5,4,5,5,4,6,1,2,3,3,5,3,2
male,7,6,6,5,3,1,4,5,5,4,4,4,5,4,4,5,5,5,7,8,1,3,2,6,1,6,7
female,6,6,6,3,2,5,4,2,2,1,3,2,1,4,4,3,3,6,4,3,8,2,2,2,2,2,4
male,6,6,6,3,3,3,4,5,5,4,3,3,3,3,4,4,3,4,4,7,4,3,3,4,2,2,3
female,8,6,7,5,3,3,5,5,5,4,5,5,3,3,4,4,4,7,7,5,1,1,5,4,3,1,5
female,7,6,6,4,5,6,3,4,5,3,2,3,4,3,3,3,4,3,5,3,1,3,4,5,1,1,5
male,8,6,6,5,3,1,4,4,3,3,5,3,2,2,4,2,3,6,4,1,1,1,3,5,2,5,6
male,6,6,6,4,3,4,4,2,4,3,2,3,5,3,4,4,5,5,6,2,6,3,8,5,4,3,3
female,7,6,6,3,6,3,4,4,3,3,3,3,2,2,3,3,3,4,6,7,1,2,3,2,2,2,4
male,7,6,6,3,5,2,5,5,5,5,5,4,5,5,5,5,4,6,8,8,2,6,6,3,2,2,2
female,7,6,6,6,4,6,4,3,4,3,3,3,2,3,3,3,4,7,4,3,5,3,3,3,2,2,5
male,6,3,3,3,3,3,3,4,4,3,3,4,3,4,3,3,3,4,4,5,1,2,2,4,2,3,4
female,7,6,6,5,3,6,3,3,5,3,2,4,4,4,3,3,3,3,3,5,2,2,3,3,2,2,3
female,7,6,7,3,4,6,5,5,4,4,5,5,2,4,4,4,3,5,5,5,4,4,5,3,2,1,3
female,8,6,7,5,4,3,5,4,5,3,4,4,1,2,3,2,4,6,5,7,3,2,2,4,4,1,2
female,8,6,6,5,3,2,4,2,4,4,2,3,3,2,3,2,4,5,5,2,7,2,2,1,1,1,4
male,8,6,6,4,4,5,5,2,3,5,3,4,5,4,4,3,5,4,4,4,1,2,3,3,3,1,2
female,6,6,6,4,2,3,3,3,5,4,1,3,5,4,4,4,4,5,5,8,7,6,7,3,4,8,8
female,8,6,6,4,5,3,5,4,4,5,4,3,3,3,5,4,4,7,5,6,1,1,4,1,4,4,4
male,5,6,6,3,4,6,3,4,4,5,3,4,5,5,5,5,2,6,5,6,1,2,4,4,3,2,7
male,7,6,7,3,5,6,5,4,3,5,5,5,1,4,5,3,2,4,6,4,1,1,3,4,3,3,5
female,6,6,6,3,5,6,5,2,4,3,4,3,3,3,4,3,3,6,5,6,1,5,5,3,2,4,4
female,8,6,6,4,4,6,5,4,5,5,5,5,4,3,4,4,5,8,5,6,1,4,4,3,2,1,3
male,7,5,5,3,1,5,4,4,3,2,3,3,3,2,4,3,4,4,3,3,1,1,3,1,4,2,2
