Student,Number of Siblings,Year in school,Hair Color,Height in inches,,,
Student 1,3,Fresh,Brown,65,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
Student 2,1,Soph,Black,74,,,
Student 3,1,Sen,Black,60,,,
Student 4,1,Jun,Brown,70,,,
Student 5,1,Jun,Brown,67,,,
Student 6,1,Sen,Brown,72,,,
Student 7,6,Soph,Brown,70,,,
Student 8,1,Sen,Brown,62,,,
Student 9,1,Fresh,Black,63,,,
Student 10,2,Jun,Blonde,71,,,
Student 11,1,Sen,Brown,65,,,
Student 12,5,Sen,Brown,75,,,
Student 13,2,Sen,Brown,64,,,
Student 14,1,Fresh,Brown,63,,,
Student 15,1,Sen,Brown,68,,,
Student 16,1,Jun,Blonde,67,,,
Student 17,1,Sen,Blonde,67,,,
Student 18,2,Jun,Brown,66,,,
Student 19,3,Soph,Brown,72,,,
Student 20,5,Sen,Brown,64,,,
Student 21,2,Jun,Brown,75,,,
Student 22,2,Sen,Brown,66,,,
Student 23,4,Sen,Black,62,,,
Student 24,2,Fresh,Black,81,,,
Student 25,1,Sen,Brown,66,,,
Student 26,2,Fresh,Black,65,,,
Student 27,2,Jun,Blonde,68,,,
Student 28,1,Jun,Brown,68,,,
Student 29,1,Jun,Brown,69,,,
Student 30,1,Jun,Brown,71,,,
Student 31,1,Sen,Brown,70,,,
Student 32,1,Sen,Brown,66,,,
Student 33,2,Soph,Brown,65,,,
Student 34,3,Soph,Brown,66,,,
Student 35,2,Jun,Blonde,65,,,
Student 36,2,Jun,Blonde,71,,,
Student 37,2,Sen,Brown,68,,,
Student 38,2,Sen,Brown,74,,,
Student 39,1,Sen,Brown,62,,,
Student 40,2,Sen,Brown,66,,,
Student 41,1,Fresh,Black,69,,,
Student 42,3,Sen,Black,66,,,
